imDbId,title,fullTitle,type,year,imDb,metacritic,theMovieDb,rottenTomatoes,tV_com,filmAffinity,errorMessage
tt10423506,A Risky Revenge,A Risky Revenge (2019),Movie,2019,,,,,,,
tt0058331,Mary Poppins,Mary Poppins (1964),Movie,1964,7.8,88,7.6,96,,7.1,
tt4154796,Avengers: Endgame,Avengers: Endgame (2019),Movie,2019,8.4,78,8.3,94,,7.3,
tt4154756,Avengers: Infinity War,Avengers: Infinity War (2018),Movie,2018,8.4,68,8.3,,,7.5,
tt0076759,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope (1977),Movie,1977,8.6,90,8.2,,9,7.9,
tt0080684,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back (1980),Movie,1980,8.7,82,8.4,,8.7,8.1,
tt2948372,Soul,Soul (2020),Movie,2020,8.1,83,8.2,95,,7.4,
tt2015381,Guardians of the Galaxy,Guardians of the Galaxy (2014),Movie,2014,8,76,7.9,,,6.9,
tt6105098,The Lion King,The Lion King (2019),Movie,2019,6.9,55,7.2,,,6.4,
tt0076363,The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh (1977),Movie,1977,7.6,,7.3,,8.8,5.4,
tt0114709,Toy Story,Toy Story (1995),Movie,1995,8.3,95,8,100,,7.7,
tt1049413,Up,Up (2009),Movie,2009,8.2,88,7.9,,,7.9,
tt0086190,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi (1983),Movie,1983,8.3,58,7.9,82,,7.9,
tt0266543,Finding Nemo,Finding Nemo (2003),Movie,2003,8.1,90,7.8,99,,7.5,
tt2948356,Zootopia,Zootopia (2016),Movie,2016,8,78,7.7,,8.8,7.1,
tt0382932,Ratatouille,Ratatouille (2007),Movie,2007,8,96,7.8,96,,7.3,
tt1211837,Doctor Strange,Doctor Strange (2016),Movie,2016,7.5,72,7.4,,,6.5,
tt6139732,Aladdin,Aladdin (2019),Movie,2019,6.9,53,7.2,57,,6.2,
